id,name
Q150599,Ferdinand II.
Q61589393,Ottavio d'Aragona Tagliavia
Q2058139,"Pedro Téllez-Girón, 3rd Duke of Osuna"
Q34464,Philipp III.
Q1383646,Johann von Schweden
Q52938,Gustav II. Adolf
Q233496,Christine von Schleswig-Holstein-Gottorf
Q181915,Michael I.
Q633501,Nicolò Donà
Q604434,Antonio Priuli
Q313494,Gábor Bethlen
Q691678,Francisco Gómez de Sandoval y Rojas
Q318091,Karl Emanuel I.
Q1965530,"Charles de Lorraine, duc de Guise"
Q16863793,Juan Tellez-Girón y Enriquez de Ribera
Q78801,Melchior Khlesl
Q695234,Charles Bonaventure de Longueval
Q86740,Philipp Ernst
Q71428,"Wilhelm Ludwig, Graf von Nassau-Dillenburg"
Q529521,Christian
Q1287850,Hans Philipp von Fuchs von Bimbach
Q697998,Franz Seraph von Dietrichstein
Q506533,Karl I.
Q441405,Peter Ernst II. von Mansfeld
Q3340936,Nicolas de L’Hospital
Q152157,Matthias
Q322629,Heinrich von Dampierre
Q283909,Maximilian III.
Q114749,Ahmed I.
Q1587522,Don Giovanni de' Medici
Q933477,Francesco Erizzo
Q1113636,"Gómez Suárez de Figueroa, duque de Feria"
Q1733550,Karl der Ältere von Žerotín
Q1533896,Jan Rudolf Trčka von Lípa
Q72586,Johann Georg von Brandenburg-Jägerndorf
Q479945,Johann Christian
Q23141047,Jean-Robert de Thumery de Boissise
Q2895986,Benjamin Aubery du Maurier
Q737533,Ludwig XIII.
Q2756881,Gilles van Ledenberg
Q166623,Johan van Oldenbarnevelt
Q2542932,Johannes Wtenbogaert
Q547017,Carlo I. Gonzaga
Q366652,Johann Georg I.
Q151209,Anna von Österreich
Q387663,Pedro Fernández de Castro y Andrade
Q172056,Osman II.
Q164062,Moritz von Oranien
Q29,Spanien
Q615673,Gaspar de Borja y Velasco
Q312297,Cosimo II. de’ Medici
Q689523,Hans Ulrich von Eggenberg
Q55191200,Jakob Ludwig Graf Fürstenberg
Q708618,Heinrich Matthias von Thurn
Q40746,Johann Sigismund
Q153545,Albrecht von Wallenstein
Q2620087,Éléonore de Bourbon
Q351856,"Henri II. de Bourbon, prince de Condé"
Q311452,Albrecht VII. von Habsburg
Q848615,Henrietta Maria von Frankreich
Q81506,Karl I.
Q426677,Thomas Franz
Q635315,Marie de Bourbon
Q112066,Leopold V.
Q2591874,Wolfgang von Mansfeld
Q1554560,Gundaker von Liechtenstein
Q1819919,Leopold von Stralendorf
Q1356781,Ernesto Montecuccoli
Q826402,Bernhardin II. von Herberstein
Q302942,Johann Friedrich
Q368929,Jindřichův Hradec
Q874587,Wilhelm Kinsky von Wchinitz und Tettau
Q79972,Jakob I.
Q158248,Anna von Dänemark und Norwegen
Q96332796,Federico Landi
Q65145325,"Camillo Caracciolo, Zweiter Prinz von Avellino"
